ID,Name,Alt. name,Karmn,RA_J2015.5,DE_J2015.5,d_pc,ed_pc,Ref_d,SpT,SpTnum,COMMENTS,FUV_mag,eFUV_mag,NUV_mag,eNUV_mag,Ref19,u_mag,eu_mag,Ref20,BT_mag,eBT_mag,Ref21,B_mag,eB_mag,Ref22,g_mag,eg_mag,Ref23,BPmag,e_BPmag,Ref_24,VT_mag,eVT_mag,Ref25,V_mag,eV_mag,Ref26,Gmag,e_Gmag,Ref_27,r_mag,er_mag,Ref28,i_mag,ei_mag,Ref29,RPmag,e_RPmag,Ref_30,J_mag,eJ_mag,H_mag,eH_mag,Ks_mag,eKs_mag,Qflag_2M,Ref31,W1_mag,eW1_mag,W2_mag,eW2_mag,W3_mag,eW3_mag,W4_mag,eW4_mag,Qflag_W,Ref32,K,M_Ben16,M_Del00,M_adopted,Source,M_mann,eM_mann,Model,Teff,logg,Meta.,Lbol,Lberr
1,GX And,GJ 15 A,J00183+440,00:18:27.04,+44:01:29.0,3.563,0.001,GDR2,M1.0V,1,,,,,,,,,,,,,10.12,0,UCAC4,8.7069,0.018,PS1,8.3553,0.001,GDR2,8.309,0.013,TYC2,8.284,0,UCAC4,7.2162,5E-04,GDR2,7.9338,0.0728,PS1,6.4072,0.001,PS1,6.1822,0.0012,GDR2,5.252,0.264,4.476,0.2,4.018,0.02,DCE,2MASS,3.872,0.381,3.437,0.282,3.696,0.015,3.602,0.024,CBAA,WISE,6.2591,0.4456,0.4031,0.4456,Ben16,0.4015,0.0097,bt-settl-cifist,3600,4.5,0,0.02535898,3.965559E-04
2,K2-149,EPIC 220522664,,00:39:17.22,+07:16:37.2,124.1,0.5,GDR2,M1V,1,,,,,,,17.989,0.013,SDSS9,,,,16.055,0.060,UCAC4,15.326,0.04,UCAC4,14.8301,0.0028,GDR2,,,,14.484,0.16,UCAC4,13.7795,3E-04,GDR2,13.89,0.12,UCAC4,13.079,0.11,UCAC4,12.7654,8E-04,GDR2,11.452,0.023,10.762,0.032,10.561,0.021,AAA,2MASS,10.482,0.023,10.497,0.021,10.475,0.25,8.351,,AABU,WISE,5.0918,0.628,0.6382,0.6382,Del00,0.5879,0.0148,bt-settl-cifist,3700,4.5,0,0.0676523,0.0017461124
3,CD-44 170,GJ 27.1,,00:39:59.52,-44:15:15.0,23.62,0.03,GDR2,M0.5V,0.5,,,,20.825,0.169,GALEX,,,,13.404,0.279,TYC2,12.896,0.070,UCAC4,12.176,0.03,UCAC4,11.6716,0.0016,GDR2,11.642,0.1,TYC2,11.458,0.04,UCAC4,10.579,3E-04,GDR2,10.859,0.06,UCAC4,9.987,0.02,UCAC4,9.5702,9E-04,GDR2,8.225,0.027,7.609,0.038,7.394,0.029,AAA,2MASS,7.195,0.039,7.235,0.019,7.134,0.016,6.898,0.083,AAAA,WISE,5.5274,0.5758,0.5458,0.5758,Ben16,0.5209,0.0131,bt-settl-cifist,3700,4.5,0,0.045966536,8.7070884E-04
4,LHS 1140,GJ 3053,J00449-152,00:44:59.67,-15:16:26.8,14.99,0.02,GDR2,M4.5V,4.5,,,,,,,,,,,,,15.881,0.090,UCAC4,14.901,0.04,UCAC4,14.4352,0.0028,GDR2,,,,14.15,0.06,UCAC4,12.6706,4E-04,GDR2,13.548,0.02,UCAC4,11.845,0.1,UCAC4,11.3989,0.0013,GDR2,9.612,0.023,9.092,0.026,8.821,0.024,AAA,2MASS,8.606,0.022,8.391,0.019,8.235,0.022,8.133,0.265,AAAB,WISE,7.9416,0.1794,0.1798,0.1794,Ben16,0.1824,0.0047,bt-settl-cifist,3100,4.5,0,0.004425108,5.4840562E-05
5,2MASS J01021226-6145216,HATS-71,,01:02:12.45,-61:45:22.1,140.788,0.860,GDR2,M3.0V,3.0,NEW 2019,,,,,,,,,,,,,,,17.105,0.042,APASS9,16.744,0.004,GDR2,,,,,,,15.351,0.001,GDR2,15.810,0.009,APASS9,14.575,0.031,APASS9,14.187,0.001,GDR2,12.605,0.026,11.972,0.032,11.727,0.025,AAA,2MASS,11.561,0.022,11.475,0.021,10.751,0.083,8.540,,AAAU,WISE,5.9842,0.4978,0.4541,0.4978,Ben16,0.4466,0.0112,bt-settl-cifist,3300,5,0,0.025190203,5.5131916E-04
6,BD+61 195,GJ 49,,01:02:40.50,+62:20:43.6,9.856,0.003,GDR2,M1.5V,1.5,NEW 2019,,,,,,,,,11.474,0.056,TYC2,11.439,0.000,UCAC4,10.427,0.030,UCAC4,9.812,0.001,GDR2,9.735,0.021,TYC2,9.765,0.000,UCAC4,8.663,0.001,GDR2,9.256,0.060,UCAC4,8.154,0.040,UCAC4,7.632,0.001,GDR2,6.230,0.021,5.582,0.024,5.371,0.020,AAA,2MASS,5.302,0.223,5.076,0.085,5.185,0.015,5.086,0.028,BAAA,WISE,5.4026,0.5936,0.5720,0.5936,Ben16,0.5407,0.0133,bt-settl-cifist,3600,5,0,0.04524118,9.5470843E-04
7,YZ Cet,GJ 54.1,J01125-169,01:12:31.94,-16:59:46.5,3.712,0.001,GDR2,M4.5V,4.5,,,,,,,,,,,,,13.878,0.040,UCAC4,12.906,0.07,UCAC4,12.3561,0.0019,GDR2,11.96,0.013,TYC2,12.096,0.02,UCAC4,10.4294,6E-04,GDR2,11.443,0.01,UCAC4,9.762,0.23,UCAC4,9.15,8E-04,GDR2,7.258,0.02,6.749,0.033,6.42,0.017,AAA,2MASS,6.164,0.081,5.914,0.039,5.812,0.02,5.705,0.041,AAAA,WISE,8.5717,0.1326,0.1336,0.1326,Ben16,0.1367,0.0033,bt-settl-cifist,3100,4.5,0,0.002200311,3.4516605E-05
8,K2-150,EPIC 220598331,,01:13:22.65,+08:59:14.8,102.8,0.8,GDR2,M2.5V,2.5,,,,,,,19.444,0.036,SDSS9,,,,17.353,0.010,UCAC4,16.615,0.05,UCAC4,16.1566,0.0077,GDR2,,,,15.829,0.01,UCAC4,14.815,5E-04,GDR2,15.293,0.04,UCAC4,14.025,0.05,UCAC4,13.6712,0.0021,GDR2,12.107,0.02,11.487,0.022,11.249,0.023,AAA,2MASS,11.117,0.023,11.024,0.02,10.814,0.097,9.221,,AAAU,WISE,6.1895,0.459,0.4157,0.459,Ben16,0.4129,0.0105,bt-settl-cifist,3400,4.5,0,0.022433111,5.4787286E-04
9,K2-151,EPIC 220621087,,01:17:13.15,+09:30:04.6,69.6,0.2,GDR2,M1.5V,1.5,,,,,,,17.519,0.013,SDSS9,,,,15.657,0.150,UCAC4,15.012,0.12,UCAC4,14.4134,0.0027,GDR2,,,,14.14,0.04,UCAC4,13.3119,5E-04,GDR2,13.548,0.01,UCAC4,12.634,0.02,UCAC4,12.2741,0.0014,GDR2,10.93,0.027,10.335,0.022,10.117,0.021,AAA,2MASS,9.967,0.023,9.877,0.02,9.843,0.046,8.766,,AAAU,WISE,5.9033,0.5127,0.4698,0.5127,Ben16,0.4597,0.0112,bt-settl-cifist,3700,4.5,0,0.032620076,4.5638072E-04
10,BD-17 400,GJ 3138,,02:09:11.46,-16:20:21.3,28.49,0.03,GDR2,M0V,0,,,,,,,,,,13.552,0.373,TYC2,12.271,0.030,UCAC4,11.616,0.01,UCAC4,11.1343,9E-04,GDR2,11.042,0.071,TYC2,10.877,0.02,UCAC4,10.1924,6E-04,GDR2,10.361,0.09,UCAC4,9.604,0.01,UCAC4,9.2658,0.0016,GDR2,8.076,0.019,7.412,0.031,7.246,0.016,AAA,2MASS,7.055,0.04,7.149,0.019,7.07,0.016,7.094,0.084,AAAA,WISE,4.9722,0.6364,0.6638,0.6638,Del00,0.6055,0.0151,bt-settl-cifist,3900,4.5,0,0.08350851,0.0013231719
